QueryID,ResponseID,QueryName,ResponseName,ReleaseDate,Metacritic,RecommendationCount,ScreenshotCount,SteamSpyOwners,AchievementCount, PriceInitial 
3170,3170,King's Bounty: Armored Princess,Kings Bounty: Armored Princess,Nov 19 2009,82,308,20,369998,0,9.99
3230,3230,Genesis Rising,Genesis Rising,Aug 6 2007,57,103,5,30669,0,4.99
3260,3260,Safecracker: The Ultimate Puzzle Adventure,Safecracker: The Ultimate Puzzle Adventure,Aug 29 2007,69,321,5,89854,0,4.99
3270,3270,Painkiller Overdose,Painkiller Overdose,Oct 30 2007,65,374,15,256111,0,4.99
3540,3540,Peggle Nights,Peggle(tm) Nights,Oct 15 2008,76,248,12,209839,0,4.99
3590,3590,Plants vs. Zombies: Game of the Year,Plants vs. Zombies GOTY Edition,May 5 2009,87,6207,10,1169180,21,4.99
3620,3620,Zuma's Revenge,Zumas Revenge!,Sep 15 2009,78,225,12,102767,14,4.99
3700,3700,Sniper Elite,Sniper Elite,Jul 16 2009,76,866,14,421292,0,9.99
3710,3710,Judge Dredd: Dredd vs Death,Judge Dredd: Dredd vs. Death,Mar 26 2009,55,425,6,62772,0,7.99
3720,3720,Evil Genius,Evil Genius,Jun 22 2009,75,1195,10,220241,0,9.99
3800,3800,Advent Rising,Advent Rising,Sep 14 2006,70,226,5,47169,0,9.99
3810,3810,BloodRayne,BloodRayne,Sep 14 2006,65,307,4,66718,0,9.99
3820,3820,BloodRayne 2,BloodRayne 2,Sep 14 2006,67,224,5,67256,0,9.99
3830,3830,Psychonauts,Psychonauts,Oct 11 2006,87,5130,7,1413633,37,9.99
3900,3900,Sid Meier's Civilization IV,Sid Meiers Civilization(r) IV,Oct 25 2006,94,887,5,1422601,0,19.99
3910,3910,Sid Meier's Civilization III: Complete,Sid Meiers Civilization(r) III Complete,Oct 25 2006,90,1328,5,1097619,0,4.99
3920,3920,Sid Meier's Pirates!,Sid Meiers Pirates!,Jul 11 2005,88,1641,5,800437,0,9.99
3980,3980,CivCity: Rome,CivCity: Rome,Apr 6 2007,67,143,13,75686,0,9.99
4500,4500,S.T.A.L.K.E.R.: Shadow of Chernobyl,S.T.A.L.K.E.R.: Shadow of Chernobyl,Mar 20 2007,82,4657,17,1029825,0,19.99
