QueryID,ResponseID,ResponseName,Metacritic,RecommendationCount,SteamSpyOwners
6550,6550,Devil May Cry(r) 3 Special Edition,66,1401,225442
6830,6830,Commandos 2: Men of Courage,87,877,534103
6840,6840,Commandos 3: Destination Berlin,72,415,499489
6850,6850,Hitman 2: Silent Assassin,87,1144,1309073
6860,6860,Hitman: Blood Money,82,3895,1454166
6870,6870,Battlestations: Midway,76,214,364259
6880,6880,Just Cause,75,1565,1269616
6900,6900,Hitman: Codename 47,73,1049,1134565
6910,6910,Deus Ex: Game of the Year Edition,90,3706,1198773
6920,6920,Deus Ex: Invisible War,80,679,876302
6980,6980,Thief: Deadly Shadows,85,860,678121
7000,7000,Tomb Raider: Legend,82,921,860519
7010,7010,Project: Snowblind,76,110,67615
7020,7020,Rogue Trooper,69,157,70484
7110,7110,Jade Empire(tm): Special Edition,81,721,198002
7200,7200,Trackmania United Forever Star Edition,80,633,129849
7210,7210,Runaway A Road Adventure,74,212,120344
7260,7260,Loki,61,0,21343
7510,7510,X-Blades,54,1846,547734
7520,7520,Two Worlds II,76,3331,945172
7600,7600,Sid Meiers Railroads!,77,1097,531772
7610,7610,Railroad Tycoon 3,80,273,226877
7620,7620,Railroad Tycoon II Platinum,89,296,175763
7670,7670,BioShock(tm),96,16260,3635595
7770,7770,X-COM: Enforcer,65,201,585756
7830,7830,Men of War(tm),80,1203,338074
7840,7840,Death Track(r): Resurrection,53,0,42685
7860,7860,NecroVision,63,506,112990
7940,7940,Call of Duty(r) 4: Modern Warfare(r),92,5983,1056728
8000,8000,Tomb Raider: Anniversary,83,1111,904281
8080,8080,Kane and Lynch: Dead Men(tm),67,1136,429722
8100,8100,Conflict: Denied Ops,58,0,63490
8140,8140,Tomb Raider: Underworld,80,1079,936922
8170,8170,Battlestations Pacific,74,897,276557
8190,8190,Just Cause 2,84,27899,4240721
8260,8260,Sam & Max 201: Ice Station Santa,82,0,146170
8270,8270,Sam & Max 202: Moai Better Blues,80,0,145273
8280,8280,Sam & Max 203: Night of the Raving Dead,79,0,145273
,,,,,
8310,8310,Bone: Out From Boneville,68,0,51653
8320,8320,Bone: The Great Cow Race,76,0,51115
8340,8340,Strong Bads Cool Game for Attractive People: Season 1,82,175,165181
8400,8400,Geometry Wars: Retro Evolved,76,507,167333
8500,8500,EVE Online,88,4269,592571
8600,8600,RACE 07,83,1637,1139587
8800,8800,Civilization IV: Beyond the Sword,86,780,1193213
8850,8850,BioShock(r) 2,88,7624,3219325
8870,8870,BioShock Infinite,94,55512,4619328
8880,8880,Freedom Force,90,242,252524
